LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME_OF_PROD,VALUE_PROD,Flag Codes
CHE,OILPROD,TOT,KTOE,A,2006,0,
CHE,OILPROD,TOT,KTOE,A,2007,0,
CHE,OILPROD,TOT,KTOE,A,2008,0,
CHE,OILPROD,TOT,KTOE,A,2009,0,
CHE,OILPROD,TOT,KTOE,A,2010,0,
CHE,OILPROD,TOT,KTOE,A,2011,0,
CHE,OILPROD,TOT,KTOE,A,2012,0,
CHE,OILPROD,TOT,KTOE,A,2013,0,
CHE,OILPROD,TOT,KTOE,A,2014,0,
CHE,OILPROD,TOT,KTOE,A,2015,0,
CHE,OILPROD,TOT,KTOE,A,2016,0,
CHE,OILPROD,TOT,KTOE,A,2017,0,
TUR,OILPROD,TOT,KTOE,A,2000,2729.147,
TUR,OILPROD,TOT,KTOE,A,2001,2490.026,
TUR,OILPROD,TOT,KTOE,A,2002,2391.215,
TUR,OILPROD,TOT,KTOE,A,2003,2323.036,
TUR,OILPROD,TOT,KTOE,A,2004,2224.225,
TUR,OILPROD,TOT,KTOE,A,2005,2231.142,
TUR,OILPROD,TOT,KTOE,A,2006,2134.308,
TUR,OILPROD,TOT,KTOE,A,2007,2108.617,
TUR,OILPROD,TOT,KTOE,A,2008,2134.308,
TUR,OILPROD,TOT,KTOE,A,2009,2373.429,
TUR,OILPROD,TOT,KTOE,A,2010,2650.269,
TUR,OILPROD,TOT,KTOE,A,2011,2503.988,
TUR,OILPROD,TOT,KTOE,A,2012,2470.849,
TUR,OILPROD,TOT,KTOE,A,2013,2538.924,
TUR,OILPROD,TOT,KTOE,A,2014,2609.657,
TUR,OILPROD,TOT,KTOE,A,2015,2657.34,
TUR,OILPROD,TOT,KTOE,A,2016,2720.615,
TUR,OILPROD,TOT,KTOE,A,2017,2699.468,
GBR,OILPROD,TOT,KTOE,A,2000,122237.676,
GBR,OILPROD,TOT,KTOE,A,2001,112391.841,
GBR,OILPROD,TOT,KTOE,A,2002,111399.481,
GBR,OILPROD,TOT,KTOE,A,2003,101449.95,
GBR,OILPROD,TOT,KTOE,A,2004,90749.669,
GBR,OILPROD,TOT,KTOE,A,2005,80030.722,
GBR,OILPROD,TOT,KTOE,A,2006,72239.084,
GBR,OILPROD,TOT,KTOE,A,2007,72882.713,
GBR,OILPROD,TOT,KTOE,A,2008,67848.247,
GBR,OILPROD,TOT,KTOE,A,2009,65075.146,
GBR,OILPROD,TOT,KTOE,A,2010,60130.802,
GBR,OILPROD,TOT,KTOE,A,2011,50314.628,
GBR,OILPROD,TOT,KTOE,A,2012,43561.605,
GBR,OILPROD,TOT,KTOE,A,2013,39836.514,
GBR,OILPROD,TOT,KTOE,A,2014,38819.262,
GBR,OILPROD,TOT,KTOE,A,2015,44363.391,
GBR,OILPROD,TOT,KTOE,A,2016,45896.521,
GBR,OILPROD,TOT,KTOE,A,2017,44566.427,
USA,OILPROD,TOT,KTOE,A,2000,297512.886,
USA,OILPROD,TOT,KTOE,A,2001,295670.563,
USA,OILPROD,TOT,KTOE,A,2002,292823.901,
USA,OILPROD,TOT,KTOE,A,2003,289518.467,
USA,OILPROD,TOT,KTOE,A,2004,276931.156,
USA,OILPROD,TOT,KTOE,A,2005,263918.138,
USA,OILPROD,TOT,KTOE,A,2006,260029.939,
USA,OILPROD,TOT,KTOE,A,2007,258101.855,
USA,OILPROD,TOT,KTOE,A,2008,252986.129,
USA,OILPROD,TOT,KTOE,A,2009,273202.08,
USA,OILPROD,TOT,KTOE,A,2010,279225.018,
USA,OILPROD,TOT,KTOE,A,2011,287590.382,
USA,OILPROD,TOT,KTOE,A,2012,332009.679,
USA,OILPROD,TOT,KTOE,A,2013,380518.664,
USA,OILPROD,TOT,KTOE,A,2014,446109.689,
USA,OILPROD,TOT,KTOE,A,2015,472634.851,
USA,OILPROD,TOT,KTOE,A,2016,446538.263,
USA,OILPROD,TOT,KTOE,A,2017,470360.949,
OEU,OILPROD,TOT,KTOE,A,2000,321508.155,
OEU,OILPROD,TOT,KTOE,A,2001,304918.77,
OEU,OILPROD,TOT,KTOE,A,2002,304008.389,
OEU,OILPROD,TOT,KTOE,A,2003,288186.958,
OEU,OILPROD,TOT,KTOE,A,2004,267681.603,
OEU,OILPROD,TOT,KTOE,A,2005,243146.37,
OEU,OILPROD,TOT,KTOE,A,2006,222864.286,
OEU,OILPROD,TOT,KTOE,A,2007,218405.837,
OEU,OILPROD,TOT,KTOE,A,2008,206105.447,
OEU,OILPROD,TOT,KTOE,A,2009,194194.405,
OEU,OILPROD,TOT,KTOE,A,2010,174213.362,
OEU,OILPROD,TOT,KTOE,A,2011,159269.062,
OEU,OILPROD,TOT,KTOE,A,2012,143276.787,
OEU,OILPROD,TOT,KTOE,A,2013,136088.498,
OEU,OILPROD,TOT,KTOE,A,2014,138144.976,
OEU,OILPROD,TOT,KTOE,A,2015,144359.971,
OEU,OILPROD,TOT,KTOE,A,2016,147100.719,
OEU,OILPROD,TOT,KTOE,A,2017,144391.643,
ALB,OILPROD,TOT,KTOE,A,2000,314,
ALB,OILPROD,TOT,KTOE,A,2001,308,
ALB,OILPROD,TOT,KTOE,A,2002,371,
ALB,OILPROD,TOT,KTOE,A,2003,360,
ALB,OILPROD,TOT,KTOE,A,2004,443,
ALB,OILPROD,TOT,KTOE,A,2005,418,
ALB,OILPROD,TOT,KTOE,A,2006,500,
ALB,OILPROD,TOT,KTOE,A,2007,564,
ALB,OILPROD,TOT,KTOE,A,2008,578,
ALB,OILPROD,TOT,KTOE,A,2009,577,
ALB,OILPROD,TOT,KTOE,A,2010,744,
ALB,OILPROD,TOT,KTOE,A,2011,895,
ALB,OILPROD,TOT,KTOE,A,2012,1031,
ALB,OILPROD,TOT,KTOE,A,2013,1207,
ALB,OILPROD,TOT,KTOE,A,2014,1368,
ALB,OILPROD,TOT,KTOE,A,2015,1279,
ALB,OILPROD,TOT,KTOE,A,2016,1056,
ALB,OILPROD,TOT,KTOE,A,2017,959,
DZA,OILPROD,TOT,KTOE,A,2000,43754.203,
DZA,OILPROD,TOT,KTOE,A,2001,42831.865,
DZA,OILPROD,TOT,KTOE,A,2002,47971.937,
DZA,OILPROD,TOT,KTOE,A,2003,57576.871,
DZA,OILPROD,TOT,KTOE,A,2004,62199.937,
DZA,OILPROD,TOT,KTOE,A,2005,65346.435,
DZA,OILPROD,TOT,KTOE,A,2006,66037.154,
DZA,OILPROD,TOT,KTOE,A,2007,66264.637,
DZA,OILPROD,TOT,KTOE,A,2008,63679.608,
DZA,OILPROD,TOT,KTOE,A,2009,59054.474,
DZA,OILPROD,TOT,KTOE,A,2010,57588.245,
DZA,OILPROD,TOT,KTOE,A,2011,56392.928,
DZA,OILPROD,TOT,KTOE,A,2012,52799.737,
DZA,OILPROD,TOT,KTOE,A,2013,51260.094,
DZA,OILPROD,TOT,KTOE,A,2014,52532.962,
DZA,OILPROD,TOT,KTOE,A,2015,50856.829,
DZA,OILPROD,TOT,KTOE,A,2016,52677.724,
DZA,OILPROD,TOT,KTOE,A,2017,49642.9,
ARG,OILPROD,TOT,KTOE,A,2000,39530,
ARG,OILPROD,TOT,KTOE,A,2001,40089,
ARG,OILPROD,TOT,KTOE,A,2002,38744,
ARG,OILPROD,TOT,KTOE,A,2003,37079,
ARG,OILPROD,TOT,KTOE,A,2004,35551,
ARG,OILPROD,TOT,KTOE,A,2005,33934,
ARG,OILPROD,TOT,KTOE,A,2006,33850,
ARG,OILPROD,TOT,KTOE,A,2007,32945,
ARG,OILPROD,TOT,KTOE,A,2008,32323,
ARG,OILPROD,TOT,KTOE,A,2009,32002,
ARG,OILPROD,TOT,KTOE,A,2010,31274,
ARG,OILPROD,TOT,KTOE,A,2011,29861,
ARG,OILPROD,TOT,KTOE,A,2012,28324,
ARG,OILPROD,TOT,KTOE,A,2013,26978,
ARG,OILPROD,TOT,KTOE,A,2014,27484,
ARG,OILPROD,TOT,KTOE,A,2015,27496,
ARG,OILPROD,TOT,KTOE,A,2016,26440,
ARG,OILPROD,TOT,KTOE,A,2017,24766,
ARM,OILPROD,TOT,KTOE,A,2000,0,
ARM,OILPROD,TOT,KTOE,A,2001,0,
ARM,OILPROD,TOT,KTOE,A,2002,0,
ARM,OILPROD,TOT,KTOE,A,2003,0,
ARM,OILPROD,TOT,KTOE,A,2004,0,
ARM,OILPROD,TOT,KTOE,A,2005,0,
ARM,OILPROD,TOT,KTOE,A,2006,0,
ARM,OILPROD,TOT,KTOE,A,2007,0,
ARM,OILPROD,TOT,KTOE,A,2008,0,
ARM,OILPROD,TOT,KTOE,A,2009,0,
ARM,OILPROD,TOT,KTOE,A,2010,0,
ARM,OILPROD,TOT,KTOE,A,2011,0,
ARM,OILPROD,TOT,KTOE,A,2012,0,
ARM,OILPROD,TOT,KTOE,A,2013,0,
ARM,OILPROD,TOT,KTOE,A,2014,0,
ARM,OILPROD,TOT,KTOE,A,2015,0,
ARM,OILPROD,TOT,KTOE,A,2016,0,
ARM,OILPROD,TOT,KTOE,A,2017,0,
AZE,OILPROD,TOT,KTOE,A,2000,13938.232,
AZE,OILPROD,TOT,KTOE,A,2001,14852.775,
AZE,OILPROD,TOT,KTOE,A,2002,15283.916,
AZE,OILPROD,TOT,KTOE,A,2003,15327.131,
AZE,OILPROD,TOT,KTOE,A,2004,15424.615,
AZE,OILPROD,TOT,KTOE,A,2005,22103.791,
AZE,OILPROD,TOT,KTOE,A,2006,32145.67,
AZE,OILPROD,TOT,KTOE,A,2007,41548.374,
AZE,OILPROD,TOT,KTOE,A,2008,42400.607,
AZE,OILPROD,TOT,KTOE,A,2009,48595.377,
AZE,OILPROD,TOT,KTOE,A,2010,48823.51,
AZE,OILPROD,TOT,KTOE,A,2011,43661.872,
AZE,OILPROD,TOT,KTOE,A,2012,41219.742,
AZE,OILPROD,TOT,KTOE,A,2013,40929.299,
AZE,OILPROD,TOT,KTOE,A,2014,39639.895,
AZE,OILPROD,TOT,KTOE,A,2015,39229.858,
AZE,OILPROD,TOT,KTOE,A,2016,38442.949,
AZE,OILPROD,TOT,KTOE,A,2017,38881.126,
BGD,OILPROD,TOT,KTOE,A,2000,0,
BGD,OILPROD,TOT,KTOE,A,2001,0,
BGD,OILPROD,TOT,KTOE,A,2002,0,
BGD,OILPROD,TOT,KTOE,A,2003,0,
BGD,OILPROD,TOT,KTOE,A,2004,0,
BGD,OILPROD,TOT,KTOE,A,2005,0,
BGD,OILPROD,TOT,KTOE,A,2006,0,
BGD,OILPROD,TOT,KTOE,A,2007,0,
BGD,OILPROD,TOT,KTOE,A,2008,0,
BGD,OILPROD,TOT,KTOE,A,2009,0,
BGD,OILPROD,TOT,KTOE,A,2010,0,
BGD,OILPROD,TOT,KTOE,A,2011,0,
BGD,OILPROD,TOT,KTOE,A,2012,0,
BGD,OILPROD,TOT,KTOE,A,2013,0,
BGD,OILPROD,TOT,KTOE,A,2014,0,
BGD,OILPROD,TOT,KTOE,A,2015,0,
BGD,OILPROD,TOT,KTOE,A,2016,0,
BGD,OILPROD,TOT,KTOE,A,2017,0,
BLR,OILPROD,TOT,KTOE,A,2000,1860.24,
BLR,OILPROD,TOT,KTOE,A,2001,1861.245,
BLR,OILPROD,TOT,KTOE,A,2002,1855.215,
BLR,OILPROD,TOT,KTOE,A,2003,1829.085,
BLR,OILPROD,TOT,KTOE,A,2004,1813.005,
BLR,OILPROD,TOT,KTOE,A,2005,1793.911,
BLR,OILPROD,TOT,KTOE,A,2006,1788.886,
BLR,OILPROD,TOT,KTOE,A,2007,1768.786,
BLR,OILPROD,TOT,KTOE,A,2008,1748.686,
BLR,OILPROD,TOT,KTOE,A,2009,1728.586,
BLR,OILPROD,TOT,KTOE,A,2010,1708.486,
BLR,OILPROD,TOT,KTOE,A,2011,1690.396,
BLR,OILPROD,TOT,KTOE,A,2012,1668.287,
BLR,OILPROD,TOT,KTOE,A,2013,1653.212,
BLR,OILPROD,TOT,KTOE,A,2014,1653.212,
BLR,OILPROD,TOT,KTOE,A,2015,1653.212,
BLR,OILPROD,TOT,KTOE,A,2016,1653.212,
BLR,OILPROD,TOT,KTOE,A,2017,1602.962,
BIH,OILPROD,TOT,KTOE,A,2000,0,
BIH,OILPROD,TOT,KTOE,A,2001,0,
BIH,OILPROD,TOT,KTOE,A,2002,0,
BIH,OILPROD,TOT,KTOE,A,2003,0,
BIH,OILPROD,TOT,KTOE,A,2004,0,
BIH,OILPROD,TOT,KTOE,A,2005,0,
BIH,OILPROD,TOT,KTOE,A,2006,0,
BIH,OILPROD,TOT,KTOE,A,2007,0,
BIH,OILPROD,TOT,KTOE,A,2008,0,
BIH,OILPROD,TOT,KTOE,A,2009,0,
BIH,OILPROD,TOT,KTOE,A,2010,0,
BIH,OILPROD,TOT,KTOE,A,2011,0,
BIH,OILPROD,TOT,KTOE,A,2012,0,
BIH,OILPROD,TOT,KTOE,A,2013,0,
BIH,OILPROD,TOT,KTOE,A,2014,0,
BIH,OILPROD,TOT,KTOE,A,2015,0,
BIH,OILPROD,TOT,KTOE,A,2016,0,
BIH,OILPROD,TOT,KTOE,A,2017,0,
BRA,OILPROD,TOT,KTOE,A,2000,63849.523,
BRA,OILPROD,TOT,KTOE,A,2001,66742.705,
BRA,OILPROD,TOT,KTOE,A,2002,75123.973,
BRA,OILPROD,TOT,KTOE,A,2003,77579.526,
BRA,OILPROD,TOT,KTOE,A,2004,76502.415,
BRA,OILPROD,TOT,KTOE,A,2005,84299.229,
BRA,OILPROD,TOT,KTOE,A,2006,89113.839,
BRA,OILPROD,TOT,KTOE,A,2007,90764.916,
BRA,OILPROD,TOT,KTOE,A,2008,94000.854,
BRA,OILPROD,TOT,KTOE,A,2009,100920.856,
BRA,OILPROD,TOT,KTOE,A,2010,106438.365,
BRA,OILPROD,TOT,KTOE,A,2011,108974.94,
BRA,OILPROD,TOT,KTOE,A,2012,107016.757,
BRA,OILPROD,TOT,KTOE,A,2013,104761.233,
BRA,OILPROD,TOT,KTOE,A,2014,116898.155,
BRA,OILPROD,TOT,KTOE,A,2015,126336.135,
BRA,OILPROD,TOT,KTOE,A,2016,130442.62,
BRA,OILPROD,TOT,KTOE,A,2017,135979.134,
BRN,OILPROD,TOT,KTOE,A,2000,9674.944,
BRN,OILPROD,TOT,KTOE,A,2001,9773.981,
BRN,OILPROD,TOT,KTOE,A,2002,10132.35,
BRN,OILPROD,TOT,KTOE,A,2003,10340.633,
BRN,OILPROD,TOT,KTOE,A,2004,9898.542,
BRN,OILPROD,TOT,KTOE,A,2005,10437.627,
BRN,OILPROD,TOT,KTOE,A,2006,10512.16,
BRN,OILPROD,TOT,KTOE,A,2007,9241.022,
BRN,OILPROD,TOT,KTOE,A,2008,9020.487,
BRN,OILPROD,TOT,KTOE,A,2009,7818.776,
BRN,OILPROD,TOT,KTOE,A,2010,7775.895,
BRN,OILPROD,TOT,KTOE,A,2011,7441.008,
BRN,OILPROD,TOT,KTOE,A,2012,7432.84,
BRN,OILPROD,TOT,KTOE,A,2013,6188.248,
BRN,OILPROD,TOT,KTOE,A,2014,5799.249,
BRN,OILPROD,TOT,KTOE,A,2015,6060.624,
BRN,OILPROD,TOT,KTOE,A,2016,5545.021,
BRN,OILPROD,TOT,KTOE,A,2017,5167.253,
BGR,OILPROD,TOT,KTOE,A,2000,40.849,
BGR,OILPROD,TOT,KTOE,A,2001,33.069,
BGR,OILPROD,TOT,KTOE,A,2002,35.986,
BGR,OILPROD,TOT,KTOE,A,2003,29.178,
BGR,OILPROD,TOT,KTOE,A,2004,29.178,
BGR,OILPROD,TOT,KTOE,A,2005,29.178,
BGR,OILPROD,TOT,KTOE,A,2006,27.233,
BGR,OILPROD,TOT,KTOE,A,2007,25.288,
BGR,OILPROD,TOT,KTOE,A,2008,23.343,
BGR,OILPROD,TOT,KTOE,A,2009,24.315,
BGR,OILPROD,TOT,KTOE,A,2010,22.37,
BGR,OILPROD,TOT,KTOE,A,2011,21.397,
BGR,OILPROD,TOT,KTOE,A,2012,23.343,
BGR,OILPROD,TOT,KTOE,A,2013,27.233,
BGR,OILPROD,TOT,KTOE,A,2014,25.288,
BGR,OILPROD,TOT,KTOE,A,2015,24.315,
BGR,OILPROD,TOT,KTOE,A,2016,23.343,
BGR,OILPROD,TOT,KTOE,A,2017,23.343,
KHM,OILPROD,TOT,KTOE,A,2000,0,
KHM,OILPROD,TOT,KTOE,A,2001,0,
KHM,OILPROD,TOT,KTOE,A,2002,0,
KHM,OILPROD,TOT,KTOE,A,2003,0,
KHM,OILPROD,TOT,KTOE,A,2004,0,
KHM,OILPROD,TOT,KTOE,A,2005,0,
KHM,OILPROD,TOT,KTOE,A,2006,0,
KHM,OILPROD,TOT,KTOE,A,2007,0,
KHM,OILPROD,TOT,KTOE,A,2008,0,
KHM,OILPROD,TOT,KTOE,A,2009,0,
KHM,OILPROD,TOT,KTOE,A,2010,0,
KHM,OILPROD,TOT,KTOE,A,2011,0,
KHM,OILPROD,TOT,KTOE,A,2012,0,
KHM,OILPROD,TOT,KTOE,A,2013,0,
KHM,OILPROD,TOT,KTOE,A,2014,0,
KHM,OILPROD,TOT,KTOE,A,2015,0,
KHM,OILPROD,TOT,KTOE,A,2016,0,
KHM,OILPROD,TOT,KTOE,A,2017,0,
CHL,OILPROD,TOT,KTOE,A,2000,264.986,
CHL,OILPROD,TOT,KTOE,A,2001,264.986,
CHL,OILPROD,TOT,KTOE,A,2002,220.65,
CHL,OILPROD,TOT,KTOE,A,2003,179.407,
CHL,OILPROD,TOT,KTOE,A,2004,178.25,
CHL,OILPROD,TOT,KTOE,A,2005,166.638,
CHL,OILPROD,TOT,KTOE,A,2006,145.795,
CHL,OILPROD,TOT,KTOE,A,2007,128.088,
CHL,OILPROD,TOT,KTOE,A,2008,132.411,
CHL,OILPROD,TOT,KTOE,A,2009,185.261,
CHL,OILPROD,TOT,KTOE,A,2010,216.018,
CHL,OILPROD,TOT,KTOE,A,2011,277.588,
CHL,OILPROD,TOT,KTOE,A,2012,302.911,
CHL,OILPROD,TOT,KTOE,A,2013,355.137,
CHL,OILPROD,TOT,KTOE,A,2014,347.746,
CHL,OILPROD,TOT,KTOE,A,2015,251.78,
CHL,OILPROD,TOT,KTOE,A,2016,209.473,
CHL,OILPROD,TOT,KTOE,A,2017,165.102,
CHN,OILPROD,TOT,KTOE,A,2000,163000,
CHN,OILPROD,TOT,KTOE,A,2001,163959,
CHN,OILPROD,TOT,KTOE,A,2002,167000,
CHN,OILPROD,TOT,KTOE,A,2003,169600,
CHN,OILPROD,TOT,KTOE,A,2004,175873,
CHN,OILPROD,TOT,KTOE,A,2005,181353,
CHN,OILPROD,TOT,KTOE,A,2006,184766,
CHN,OILPROD,TOT,KTOE,A,2007,186318,
CHN,OILPROD,TOT,KTOE,A,2008,190440,
CHN,OILPROD,TOT,KTOE,A,2009,189490,
CHN,OILPROD,TOT,KTOE,A,2010,203014,
CHN,OILPROD,TOT,KTOE,A,2011,202876,
CHN,OILPROD,TOT,KTOE,A,2012,207478,
CHN,OILPROD,TOT,KTOE,A,2013,209919,
CHN,OILPROD,TOT,KTOE,A,2014,211429,
CHN,OILPROD,TOT,KTOE,A,2015,214556,
CHN,OILPROD,TOT,KTOE,A,2016,199685,
CHN,OILPROD,TOT,KTOE,A,2017,191506,
COL,OILPROD,TOT,KTOE,A,2000,35710.687,
COL,OILPROD,TOT,KTOE,A,2001,31439.571,
COL,OILPROD,TOT,KTOE,A,2002,30074.388,
COL,OILPROD,TOT,KTOE,A,2003,28159.297,
COL,OILPROD,TOT,KTOE,A,2004,27555.913,
COL,OILPROD,TOT,KTOE,A,2005,27367.229,
COL,OILPROD,TOT,KTOE,A,2006,27591.228,
COL,OILPROD,TOT,KTOE,A,2007,27591.228,
COL,OILPROD,TOT,KTOE,A,2008,30633.376,
COL,OILPROD,TOT,KTOE,A,2009,34873.213,
COL,OILPROD,TOT,KTOE,A,2010,40878.808,
COL,OILPROD,TOT,KTOE,A,2011,47609.877,
COL,OILPROD,TOT,KTOE,A,2012,49245.473,
COL,OILPROD,TOT,KTOE,A,2013,50697.431,
COL,OILPROD,TOT,KTOE,A,2014,51517.751,
COL,OILPROD,TOT,KTOE,A,2015,52307.802,
COL,OILPROD,TOT,KTOE,A,2016,46208.37,
COL,OILPROD,TOT,KTOE,A,2017,44790.718,
HRV,OILPROD,TOT,KTOE,A,2000,1127.142,
HRV,OILPROD,TOT,KTOE,A,2001,1055.24,
HRV,OILPROD,TOT,KTOE,A,2002,1027.897,
HRV,OILPROD,TOT,KTOE,A,2003,971.186,
HRV,OILPROD,TOT,KTOE,A,2004,901.309,
HRV,OILPROD,TOT,KTOE,A,2005,840.546,
HRV,OILPROD,TOT,KTOE,A,2006,817.254,
HRV,OILPROD,TOT,KTOE,A,2007,777.759,
HRV,OILPROD,TOT,KTOE,A,2008,726.111,
HRV,OILPROD,TOT,KTOE,A,2009,678.662,
HRV,OILPROD,TOT,KTOE,A,2010,626.77,
HRV,OILPROD,TOT,KTOE,A,2011,590.14,
HRV,OILPROD,TOT,KTOE,A,2012,558.598,
HRV,OILPROD,TOT,KTOE,A,2013,545.371,
HRV,OILPROD,TOT,KTOE,A,2014,550.459,
HRV,OILPROD,TOT,KTOE,A,2015,629.822,
HRV,OILPROD,TOT,KTOE,A,2016,695.959,
HRV,OILPROD,TOT,KTOE,A,2017,701.046,
CYP,OILPROD,TOT,KTOE,A,2000,0,
CYP,OILPROD,TOT,KTOE,A,2001,0,
CYP,OILPROD,TOT,KTOE,A,2002,0,
CYP,OILPROD,TOT,KTOE,A,2003,0,
CYP,OILPROD,TOT,KTOE,A,2004,0,
CYP,OILPROD,TOT,KTOE,A,2005,0,
CYP,OILPROD,TOT,KTOE,A,2006,0,
CYP,OILPROD,TOT,KTOE,A,2007,0,
CYP,OILPROD,TOT,KTOE,A,2008,0,
CYP,OILPROD,TOT,KTOE,A,2009,0,
CYP,OILPROD,TOT,KTOE,A,2010,0,
CYP,OILPROD,TOT,KTOE,A,2011,0,
CYP,OILPROD,TOT,KTOE,A,2012,0,
CYP,OILPROD,TOT,KTOE,A,2013,0,
CYP,OILPROD,TOT,KTOE,A,2014,0,
CYP,OILPROD,TOT,KTOE,A,2015,0,
CYP,OILPROD,TOT,KTOE,A,2016,0,
CYP,OILPROD,TOT,KTOE,A,2017,0,
EGY,OILPROD,TOT,KTOE,A,2000,35283.741,
EGY,OILPROD,TOT,KTOE,A,2001,34202.714,
EGY,OILPROD,TOT,KTOE,A,2002,34048.282,
EGY,OILPROD,TOT,KTOE,A,2003,35040.916,
EGY,OILPROD,TOT,KTOE,A,2004,32705.126,
EGY,OILPROD,TOT,KTOE,A,2005,31571.267,
EGY,OILPROD,TOT,KTOE,A,2006,31303.042,
EGY,OILPROD,TOT,KTOE,A,2007,32101.621,
EGY,OILPROD,TOT,KTOE,A,2008,33965.985,
EGY,OILPROD,TOT,KTOE,A,2009,33210.079,
EGY,OILPROD,TOT,KTOE,A,2010,33841.017,
EGY,OILPROD,TOT,KTOE,A,2011,33221.255,
EGY,OILPROD,TOT,KTOE,A,2012,33463.064,
EGY,OILPROD,TOT,KTOE,A,2013,33535.2,
EGY,OILPROD,TOT,KTOE,A,2014,34226.082,
EGY,OILPROD,TOT,KTOE,A,2015,33726.209,
EGY,OILPROD,TOT,KTOE,A,2016,33360.448,
EGY,OILPROD,TOT,KTOE,A,2017,32087.396,
EST,OILPROD,TOT,KTOE,A,2000,0,
EST,OILPROD,TOT,KTOE,A,2001,0,
EST,OILPROD,TOT,KTOE,A,2002,0,
EST,OILPROD,TOT,KTOE,A,2003,0,
EST,OILPROD,TOT,KTOE,A,2004,0,
EST,OILPROD,TOT,KTOE,A,2005,0,
EST,OILPROD,TOT,KTOE,A,2006,0,
EST,OILPROD,TOT,KTOE,A,2007,0,
EST,OILPROD,TOT,KTOE,A,2008,0,
EST,OILPROD,TOT,KTOE,A,2009,0,
EST,OILPROD,TOT,KTOE,A,2010,0,
EST,OILPROD,TOT,KTOE,A,2011,0,
EST,OILPROD,TOT,KTOE,A,2012,0,
EST,OILPROD,TOT,KTOE,A,2013,0,
EST,OILPROD,TOT,KTOE,A,2014,0,
EST,OILPROD,TOT,KTOE,A,2015,0,
EST,OILPROD,TOT,KTOE,A,2016,0,
EST,OILPROD,TOT,KTOE,A,2017,0,
ETH,OILPROD,TOT,KTOE,A,2000,0,
ETH,OILPROD,TOT,KTOE,A,2001,0,
ETH,OILPROD,TOT,KTOE,A,2002,0,
ETH,OILPROD,TOT,KTOE,A,2003,0,
ETH,OILPROD,TOT,KTOE,A,2004,0,
ETH,OILPROD,TOT,KTOE,A,2005,0,
ETH,OILPROD,TOT,KTOE,A,2006,0,
ETH,OILPROD,TOT,KTOE,A,2007,0,
ETH,OILPROD,TOT,KTOE,A,2008,0,
ETH,OILPROD,TOT,KTOE,A,2009,0,
ETH,OILPROD,TOT,KTOE,A,2010,0,
ETH,OILPROD,TOT,KTOE,A,2011,0,
ETH,OILPROD,TOT,KTOE,A,2012,0,
ETH,OILPROD,TOT,KTOE,A,2013,0,
ETH,OILPROD,TOT,KTOE,A,2014,0,
ETH,OILPROD,TOT,KTOE,A,2015,0,
ETH,OILPROD,TOT,KTOE,A,2016,0,
ETH,OILPROD,TOT,KTOE,A,2017,0,
GEO,OILPROD,TOT,KTOE,A,2000,110.549,
GEO,OILPROD,TOT,KTOE,A,2001,99.494,
GEO,OILPROD,TOT,KTOE,A,2002,74.369,
GEO,OILPROD,TOT,KTOE,A,2003,140.699,
GEO,OILPROD,TOT,KTOE,A,2004,98.489,
GEO,OILPROD,TOT,KTOE,A,2005,67.334,
GEO,OILPROD,TOT,KTOE,A,2006,64.319,
GEO,OILPROD,TOT,KTOE,A,2007,57.285,
GEO,OILPROD,TOT,KTOE,A,2008,53.265,
GEO,OILPROD,TOT,KTOE,A,2009,51.255,
GEO,OILPROD,TOT,KTOE,A,2010,52.26,
GEO,OILPROD,TOT,KTOE,A,2011,51.255,
GEO,OILPROD,TOT,KTOE,A,2012,49.245,
GEO,OILPROD,TOT,KTOE,A,2013,48.24,
GEO,OILPROD,TOT,KTOE,A,2014,43.215,
GEO,OILPROD,TOT,KTOE,A,2015,40.2,
GEO,OILPROD,TOT,KTOE,A,2016,39.195,
GEO,OILPROD,TOT,KTOE,A,2017,39.195,
GHA,OILPROD,TOT,KTOE,A,2000,0,
GHA,OILPROD,TOT,KTOE,A,2001,0,
GHA,OILPROD,TOT,KTOE,A,2002,9.162,
GHA,OILPROD,TOT,KTOE,A,2003,10.18,
GHA,OILPROD,TOT,KTOE,A,2004,23.414,
GHA,OILPROD,TOT,KTOE,A,2005,12.216,
GHA,OILPROD,TOT,KTOE,A,2006,23.414,
GHA,OILPROD,TOT,KTOE,A,2007,27.486,
GHA,OILPROD,TOT,KTOE,A,2008,31.558,
GHA,OILPROD,TOT,KTOE,A,2009,25.45,
GHA,OILPROD,TOT,KTOE,A,2010,198.512,
GHA,OILPROD,TOT,KTOE,A,2011,3466.321,
GHA,OILPROD,TOT,KTOE,A,2012,4208.449,
GHA,OILPROD,TOT,KTOE,A,2013,5361.853,
GHA,OILPROD,TOT,KTOE,A,2014,5423.952,
GHA,OILPROD,TOT,KTOE,A,2015,5447.366,
GHA,OILPROD,TOT,KTOE,A,2016,4697.093,
GHA,OILPROD,TOT,KTOE,A,2017,8525.825,
HTI,OILPROD,TOT,KTOE,A,2000,0,
HTI,OILPROD,TOT,KTOE,A,2001,0,
HTI,OILPROD,TOT,KTOE,A,2002,0,
HTI,OILPROD,TOT,KTOE,A,2003,0,
HTI,OILPROD,TOT,KTOE,A,2004,0,
HTI,OILPROD,TOT,KTOE,A,2005,0,
HTI,OILPROD,TOT,KTOE,A,2006,0,
